,Countries,Local,Industry Sector,Accident Level,Potential Accident Level,Genre,Employee or Third Party,Critical Risk,Description,year,month,day,Weekday,WeekofYear
0,Country_01,Local_01,Mining,1,IV,Male,Third Party,Pressed,removing drill rod jumbo maintenance supervisor proceeds loosen support intermediate centralizer facilitate removal seeing mechanic supports one end drill equipment pull hands bar accelerate removal moment bar slides point support tightens fingers mechanic drilling bar beam jumbo,2016,1,1,Friday,53
1,Country_02,Local_02,Mining,1,IV,Male,Employee,Pressurized Systems,activation sodium sulphide pump piping uncoupled sulfide solution designed area reach maid immediately made use emergency shower directed ambulatory doctor later hospital note sulphide solution grams liter,2016,1,2,Saturday,53
2,Country_01,Local_03,Mining,1,III,Male,Third Party (Remote),Manual Tools,sub station milpo located level collaborator excavation work pick hand tool hitting rock flat part beak bounces hitting steel tip safety shoe metatarsal area left foot collaborator causing injury,2016,1,6,Wednesday,1
3,Country_01,Local_04,Mining,1,I,Male,Third Party,Others,approximately nv cx ob personnel begins task unlocking soquet bolts bhb machine penultimate bolt identified hexagonal head worn proceeding mr crist bal auxiliary assistant climb platform exert pressure hand dado key prevent coming bolt moments two collaborators rotate lever anti clockwise direction leaving key bolt hitting palm left hand causing injury,2016,1,8,Friday,1
4,Country_01,Local_04,Mining,4,IV,Male,Third Party,Others,approximately circumstances mechanics anthony group leader eduardo eric fern ndez injured three company impromec performed removal pulley motor pump zaf marcy cm length cm weight kg locked proceed heating pulley loosen comes falls distance meters high hits instep right foot worker causing injury described,2016,1,10,Sunday,1
5,Country_02,Local_05,Metals,1,III,Male,Third Party (Remote),Pressurized Systems,unloading operation ustulado bag need unclog discharge mouth silo truck performing procedure maneuver unhooking hose without total depressurisation mouth projecting ustulado powder collaborator caused irritation eyes,2016,1,12,Tuesday,2
6,Country_02,Local_05,Metals,1,III,Male,Employee,Fall prevention (same level),collaborator reports street holding left hand volumetric balloon slipped placing hand ground volumetric balloon ended breaking caused small wound left hand,2016,1,16,Saturday,2
7,Country_01,Local_04,Mining,1,III,Male,Third Party,Pressed,approximately p mechanic technician jos tecnomin verified transmission belts hm pump acid plant proceeded turn pulley manually unexpectedly instant electrician supervisor miguel eka mining grabs transmission belts verify tension point finger traps,2016,1,17,Sunday,2
8,Country_02,Local_02,Mining,1,IV,Male,Third Party (Remote),Others,employee sitting resting area level raise bore suffered sudden illness falling suffering excoriation face,2016,1,19,Tuesday,3
9,Country_01,Local_06,Metals,1,II,Male,Third Party,Chemical substances,moment forklift operator went manipulate big bag bioxide section front ladder leads area manual displacement splashed spent height forehead fissure pipe g subsequently spilling left eye collaborator went nearby eyewash cleaning immediately medical center,2016,1,26,Tuesday,4
